Sum of the Beijing and Shanghai ETS Caps","Cap (previous year) - Cap (current year)
Cap = sum of Beijing and Shanghai caps","Max(5x trailing 6mo average price + USD 7,058) for Beijing,
(1x allowance price + USD 14,116) for Shanghai)",Names of the CCP Chairman between the dates they served,Assigned as 0.5 as the CCP is considered a centrist party,Backfilled from annual reported to daily frequency,Backfilled from quarterly reported to daily frequency,"The values from WBOpen Dat and Statista (for 2023, and quarterly) have been considered ahead of the value computed as GDP/Population, because only work force is considered in GDP per capita estimate",Backfilled from annual reported values,"1 if GDP decreases for three consecutive prior quarters, 0 otherwise",If there was any other prevailing carbon taxes in China during the period of the permit regulation,"Beijing’s air quality is typically the most reported climate hazard in China (as air quality is linked to extreme temperatures), and is hence used as a proxy for extreme climate events.  ",Backfilled from available values,Backfilled from available values
Date,Allowance price,Beijing ETS Allowance price,Shanghai ETS Allowance price,Compliance Period Identifier Bejijing,Compliance Period Identifier Shanghai,Compliance Period Identifier,Compliance Period Identifier (Encoded),Market Stability Action,Number of new free allowances Introduced,Number of new auctioned allowances,Weighted average sectoral abatement difficulty,Traded Volume,Cap Beijing,Cap Shanghai,Cap,Annual Cap Reduction,Penalty for Non-Compliance,Regime name,Regime type,Population,GDP,GDP/Capita,Inflation,Recession Indicator,Other Carbon tax,Beijing Air Quality Index,Average Global Temperature Anomaly in Celsius,Cumulative VCM market surplus by sector (Issuance minus retirement) tCO2e
2021-10-18,7.16,14.33,6.16,2021,Phase Two,2021 | Phase Two,2,0,"138,980,000","5,020,000",4.25,"5,190,000","35,000,000","109,000,000","144,000,000","11,000,000","14,122",Xi Jinping,0.5,"1,413,000,000","17,820,459,508,852","12,618",0.92,0,6,40.54,0.99,168.19
2021-10-19,7.16,14.33,6.16,2021,Phase Two,2021 | Phase Two,2,0,"138,980,000","5,020,000",4.25,"5,190,000","35,000,000","109,000,000","144,000,000","11,000,000","14,122",Xi Jinping,0.5,"1,413,000,000","17,820,459,508,852","12,618",0.92,0,6,40.54,0.99,168.19
2021-10-20,5.84,11.68,6.16,2021,Phase Two,2021 | Phase Two,2,0,"138,980,000","5,020,000",4.25,"5,190,000","35,000,000","109,000,000","144,000,000","11,000,000","14,122",Xi Jinping,0.5,"1,413,000,000","17,820,459,508,852","12,618",0.92,0,6,40.54,0.99,168.19
2021-10-21,5.84,11.68,6.16,2021,Phase Two,2021 | Phase Two,2,0,"138,980,000","5,020,000",4.25,"5,190,000","35,000,000","109,000,000","144,000,000","11,000,000","14,122",Xi Jinping,0.5,"1,413,000,000","17,820,459,508,852","12,618",0.92,0,6,40.54,0.99,168.19
2021-10-22,4.68,9.36,6.16,2021,Phase Two,2021 | Phase Two,2,0,"138,980,000","5,020,000",4.25,"5,190,000","35,000,000","109,000,000","144,000,000","11,000,000","14,122",Xi Jinping,0.5,"1,413,000,000","17,820,459,508,852","12,618",0.92,0,6,40.54,0.99,168.19
2021-10-23,4.68,9.36,6.16,2021,Phase Two,2021 | Phase Two,2,0,"138,980,000","5,020,000",4.25,"5,190,000","35,000,000","109,000,000","144,000,000","11,000,000","14,122",Xi Jinping,0.5,"1,413,000,000","17,820,459,508,852","12,618",0.92,0,6,40.54,0.99,168.19
2021-10-24,4.68,9.36,6.16,2021,Phase Two,2021 | Phase Two,2,0,"138,980,000","5,020,000",4.25,"5,190,000","35,000,000","109,000,000","144,000,000","11,000,000","14,122",Xi Jinping,0.5,"1,413,000,000","17,820,459,508,852","12,618",0.92,0,6,40.54,0.99,168.19
2021-10-25,8.86,11.23,6.49,2021,Phase Two,2021 | Phase Two,2,0,"138,980,000","5,020,000",4.25,"5,190,000","35,000,000","109,000,000","144,000,000","11,000,000","14,122",Xi Jinping,0.5,"1,413,000,000","17,820,459,508,852","12,618",0.92,0,6,40.54,0.99,168.19
2021-10-26,4.55,9.09,6.49,2021,Phase Two,2021 | Phase Two,2,0,"138,980,000","5,020,000",4.25,"5,190,000","35,000,000","109,000,000","144,000,000","11,000,000","14,122",Xi Jinping,0.5,"1,413,000,000","17,820,459,508,852","12,618",0.92,0,6,40.54,0.99,168.19
2021-10-27,6.84,7.39,6.29,2021,Phase Two,2021 | Phase Two,2,0,"138,980,000","5,020,000",4.25,"5,190,000","35,000,000","109,000,000","144,000,000","11,000,000","14,122",Xi Jinping,0.5,"1,413,000,000","17,820,459,508,852","12,618",0.92,0,6,40.54,0.99,168.19
2021-10-28,7.15,8.02,6.29,2021,Phase Two,2021 | Phase Two,2,0,"138,980,000","5,020,000",4.25,"5,190,000","35,000,000","109,000,000","144,000,000","11,000,000","14,122",Xi Jinping,0.5,"1,413,000,000","17,820,459,508,852","12,618",0.92,0,6,40.54,0.99,168.19
2021-10-29,7.05,7.81,6.29,2021,Phase Two,2021 | Phase Two,2,0,"138,980,000","5,020,000",4.25,"5,190,000","35,000,000","109,000,000","144,000,000","11,000,000","14,122",Xi Jinping,0.5,"1,413,000,000","17,820,459,508,852","12,618",0.92,0,6,40.54,0.99,168.19
2021-10-30,7.05,7.81,6.29,2021,Phase Two,2021 | Phase Two,2,0,"138,980,000","5,020,000",4.25,"5,190,000","35,000,000","109,000,000","144,000,000","11,000,000","14,122",Xi Jinping,0.5,"1,413,000,000","17,820,459,508,852","12,618",0.92,0,6,40.54,0.99,168.19
2021-10-31,7.05,7.81,6.29,2021,Phase Two,2021 | Phase Two,2,0,"138,980,000","5,020,000",4.25,"5,190,000","35,000,000","109,000,000","144,000,000","11,000,000","14,122",Xi Jinping,0.5,"1,413,000,000","17,820,459,508,852","12,618",0.92,0,6,40.54,0.99,168.19
2021-11-01,3.15,7.81,6.31,2021,Phase Two,2021 | Phase Two,2,0,"138,980,000","5,020,000",4.25,"5,190,000","35,000,000","109,000,000","144,000,000","11,000,000","14,122",Xi Jinping,0.5,"1,413,000,000","17,820,459,508,852","12,618",0.92,0,6,40.54,0.94,170.54
2021-11-02,7.94,9.39,6.49,2021,Phase Two,2021 | Phase Two,2,0,"138,980,000","5,020,000",4.25,"5,190,000","35,000,000","109,000,000","144,000,000","11,000,000","14,122",Xi Jinping,0.5,"1,413,000,000","17,820,459,508,852","12,618",0.92,0,6,40.54,0.94,170.54
2021-11-03,8.88,11.26,6.49,2021,Phase Two,2021 | Phase Two,2,0,"138,980,000","5,020,000",4.25,"5,190,000","35,000,000","109,000,000","144,000,000","11,000,000","14,122",Xi Jinping,0.5,"1,413,000,000","17,820,459,508,852","12,618",0.92,0,6,40.54,0.94,170.54
2021-11-04,9.39,12.35,6.44,2021,Phase Two,2021 | Phase Two,2,0,"138,980,000","5,020,000",4.25,"5,190,000","35,000,000","109,000,000","144,000,000","11,000,000","14,122",Xi Jinping,0.5,"1,413,000,000","17,820,459,508,852","12,618",0.92,0,6,40.54,0.94,170.54
2021-11-05,8.18,9.87,6.49,2021,Phase Two,2021 | Phase Two,2,0,"138,980,000","5,020,000",4.25,"5,190,000","35,000,000","109,000,000","144,000,000","11,000,000","14,122",Xi Jinping,0.5,"1,413,000,000","17,820,459,508,852","12,618",0.92,0,6,40.54,0.94,170.54
2021-11-06,8.18,9.87,6.49,2021,Phase Two,2021 | Phase Two,2,0,"138,980,000","5,020,000",4.25,"5,190,000","35,000,000","109,000,000","144,000,000","11,000,000","14,122",Xi Jinping,0.5,"1,413,000,000","17,820,459,508,852","12,618",0.92,0,6,40.54,0.94,170.54
2021-11-07,8.18,9.87,6.49,2021,Phase Two,2021 | Phase Two,2,0,"138,980,000","5,020,000",4.25,"5,190,000","35,000,000","109,000,000","144,000,000","11,000,000","14,122",Xi Jinping,0.5,"1,413,000,000","17,820,459,508,852","12,618",0.92,0,6,40.54,0.94,170.54
2021-11-08,3.24,9.87,6.48,2021,Phase Two,2021 | Phase Two,2,0,"138,980,000","5,020,000",4.25,"5,190,000","35,000,000","109,000,000","144,000,000","11,000,000","14,122",Xi Jinping,0.5,"1,413,000,000","17,820,459,508,852","12,618",0.92,0,6,40.54,0.94,170.54
2021-11-09,7.19,7.90,6.49,2021,Phase Two,2021 | Phase Two,2,0,"138,980,000","5,020,000",4.25,"5,190,000","35,000,000","109,000,000","144,000,000","11,000,000","14,122",Xi Jinping,0.5,"1,413,000,000","17,820,459,508,852","12,618",0.92,0,6,40.54,0.94,170.54
2021-11-10,6.41,6.32,6.50,2021,Phase Two,2021 | Phase Two,2,0,"138,980,000","5,020,000",4.25,"5,190,000","35,000,000","109,000,000","144,000,000","11,000,000","14,122",Xi Jinping,0.5,"1,413,000,000","17,820,459,508,852","12,618",0.92,0,6,40.54,0.94,170.54
2021-11-11,5.70,5.05,6.34,2021,Phase Two,2021 | Phase Two,2,0,"138,980,000","5,020,000",4.25,"5,190,000","35,000,000","109,000,000","144,000,000","11,000,000","14,122",Xi Jinping,0.5,"1,413,000,000","17,820,459,508,852","12,618",0.92,0,6,40.54,0.94,170.54
2021-11-12,5.32,4.10,6.55,2021,Phase Two,2021 | Phase Two,2,0,"138,980,000","5,020,000",4.25,"5,190,000","35,000,000","109,000,000","144,000,000","11,000,000","14,122",Xi Jinping,0.5,"1,413,000,000","17,820,459,508,852","12,618",0.92,0,6,40.54,0.94,170.54
2021-11-13,5.32,4.10,6.55,2021,Phase Two,2021 | Phase Two,2,0,"138,980,000","5,020,000",4.25,"5,190,000","35,000,000","109,000,000","144,000,000","11,000,000","14,122",Xi Jinping,0.5,"1,413,000,000","17,820,459,508,852","12,618",0.92,0,6,40.54,0.94,170.54
2021-11-14,5.32,4.10,6.55,2021,Phase Two,2021 | Phase Two,2,0,"138,980,000","5,020,000",4.25,"5,190,000","35,000,000","109,000,000","144,000,000","11,000,000","14,122",Xi Jinping,0.5,"1,413,000,000","17,820,459,508,852","12,618",0.92,0,6,40.54,0.94,170.54
2021-11-15,5.32,4.10,6.55,2021,Phase Two,2021 | Phase Two,2,0,"138,980,000","5,020,000",4.25,"5,190,000","35,000,000","109,000,000","144,000,000","11,000,000","14,122",Xi Jinping,0.5,"1,413,000,000","17,820,459,508,852","12,618",0.92,0,6,40.54,0.94,170.54
2021-11-16,3.29,4.10,6.57,2021,Phase Two,2021 | Phase Two,2,0,"138,980,000","5,020,000",4.25,"5,190,000","35,000,000","109,000,000","144,000,000","11,000,000","14,122",Xi Jinping,0.5,"1,413,000,000","17,820,459,508,852","12,618",0.92,0,6,40.54,0.94,170.54
2021-11-17,5.83,4.91,6.74,2021,Phase Two,2021 | Phase Two,2,0,"138,980,000","5,020,000",4.25,"5,190,000","35,000,000","109,000,000","144,000,000","11,000,000","14,122",Xi Jinping,0.5,"1,413,000,000","17,820,459,508,852","12,618",0.92,0,6,40.54,0.94,170.54
2021-11-18,3.27,4.91,6.53,2021,Phase Two,2021 | Phase Two,2,0,"138,980,000","5,020,000",4.25,"5,190,000","35,000,000","109,000,000","144,000,000","11,000,000","14,122",Xi Jinping,0.5,"1,413,000,000","17,820,459,508,852","12,618",0.92,0,6,40.54,0.94,170.54
2021-11-19,5.99,5.40,6.59,2021,Phase Two,2021 | Phase Two,2,0,"138,980,000","5,020,000",4.25,"5,190,000","35,000,000","109,000,000","144,000,000","11,000,000","14,122",Xi Jinping,0.5,"1,413,000,000","17,820,459,508,852","12,618",0.92,0,6,40.54,0.94,170.54
2021-11-20,5.99,5.40,6.59,2021,Phase Two,2021 | Phase Two,2,0,"138,980,000","5,020,000",4.25,"5,190,000","35,000,000","109,000,000","144,000,000","11,000,000","14,122",Xi Jinping,0.5,"1,413,000,000","17,820,459,508,852","12,618",0.92,0,6,40.54,0.94,170.54
2021-11-21,5.99,5.40,6.59,2021,Phase Two,2021 | Phase Two,2,0,"138,980,000","5,020,000",4.25,"5,190,000","35,000,000","109,000,000","144,000,000","11,000,000","14,122",Xi Jinping,0.5,"1,413,000,000","17,820,459,508,852","12,618",0.92,0,6,40.54,0.94,170.54
2021-11-22,3.35,5.40,6.69,2021,Phase Two,2021 | Phase Two,2,0,"138,980,000","5,020,000",4.25,"5,190,000","35,000,000","109,000,000","144,000,000","11,000,000","14,122",Xi Jinping,0.5,"1,413,000,000","17,820,459,508,852","12,618",0.92,0,6,40.54,0.94,170.54
2021-11-23,3.17,5.40,6.34,2021,Phase Two,2021 | Phase Two,2,0,"138,980,000","5,020,000",4.25,"5,190,000","35,000,000","109,000,000","144,000,000","11,000,000","14,122",Xi Jinping,0.5,"1,413,000,000","17,820,459,508,852","12,618",0.92,0,6,40.54,0.94,170.54
2021-11-24,3.28,5.40,6.55,2021,Phase Two,2021 | Phase Two,2,0,"138,980,000","5,020,000",4.25,"5,190,000","35,000,000","109,000,000","144,000,000","11,000,000","14,122",Xi Jinping,0.5,"1,413,000,000","17,820,459,508,852","12,618",0.92,0,6,40.54,0.94,170.54
2021-11-25,3.36,5.40,6.71,2021,Phase Two,2021 | Phase Two,2,0,"138,980,000","5,020,000",4.25,"5,190,000","35,000,000","109,000,000","144,000,000","11,000,000","14,122",Xi Jinping,0.5,"1,413,000,000","17,820,459,508,852","12,618",0.92,0,6,40.54,0.94,170.54
2021-11-26,3.14,5.40,6.27,2021,Phase Two,2021 | Phase Two,2,0,"138,980,000","5,020,000",4.25,"5,190,000","35,000,000","109,000,000","144,000,000","11,000,000","14,122",Xi Jinping,0.5,"1,413,000,000","17,820,459,508,852","12,618",0.92,0,6,40.54,0.94,170.54
2021-11-27,3.14,5.40,6.27,2021,Phase Two,2021 | Phase Two,2,0,"138,980,000","5,020,000",4.25,"5,190,000","35,000,000","109,000,000","144,000,000","11,000,000","14,122",Xi Jinping,0.5,"1,413,000,000","17,820,459,508,852","12,618",0.92,0,6,40.54,0.94,170.54
2021-11-28,3.14,5.40,6.27,2021,Phase Two,2021 | Phase Two,2,0,"138,980,000","5,020,000",4.25,"5,190,000","35,000,000","109,000,000","144,000,000","11,000,000","14,122",Xi Jinping,0.5,"1,413,000,000","17,820,459,508,852","12,618",0.92,0,6,40.54,0.94,170.54
2021-11-29,3.36,5.40,6.73,2021,Phase Two,2021 | Phase Two,2,0,"138,980,000","5,020,000",4.25,"5,190,000","35,000,000","109,000,000","144,000,000","11,000,000","14,122",Xi Jinping,0.5,"1,413,000,000","17,820,459,508,852","12,618",0.92,0,6,40.54,0.94,170.54
2021-11-30,3.36,5.40,6.73,2021,Phase Two,2021 | Phase Two,2,0,"138,980,000","5,020,000",4.25,"5,190,000","35,000,000","109,000,000","144,000,000","11,000,000","14,122",Xi Jinping,0.5,"1,413,000,000","17,820,459,508,852","12,618",0.92,0,6,40.54,0.94,170.54
2021-12-01,6.43,6.50,6.36,2021,Phase Two,2021 | Phase Two,2,0,"138,980,000","5,020,000",4.25,"5,190,000","35,000,000","109,000,000","144,000,000","11,000,000","14,122",Xi Jinping,0.5,"1,413,000,000","17,820,459,508,852","12,618",0.92,0,6,40.54,0.90,170.54
2021-12-02,3.18,6.50,6.36,2021,Phase Two,2021 | Phase Two,2,0,"138,980,000","5,020,000",4.25,"5,190,000","35,000,000","109,000,000","144,000,000","11,000,000","14,122",Xi Jinping,0.5,"1,413,000,000","17,820,459,508,852","12,618",0.92,0,6,40.54,0.90,172.39
2021-12-03,6.13,5.50,6.75,2021,Phase Two,2021 | Phase Two,2,0,"138,980,000","5,020,000",4.25,"5,190,000","35,000,000","109,000,000","144,000,000","11,000,000","14,122",Xi Jinping,0.5,"1,413,000,000","17,820,459,508,852","12,618",0.92,0,6,40.54,0.90,172.39
2021-12-04,6.13,5.50,6.75,2021,Phase Two,2021 | Phase Two,2,0,"138,980,000","5,020,000",4.25,"5,190,000","35,000,000","109,000,000","144,000,000","11,000,000","14,122",Xi Jinping,0.5,"1,413,000,000","17,820,459,508,852","12,618",0.92,0,6,40.54,0.90,172.39
2021-12-05,6.13,5.50,6.75,2021,Phase Two,2021 | Phase Two,2,0,"138,980,000","5,020,000",4.25,"5,190,000","35,000,000","109,000,000","144,000,000","11,000,000","14,122",Xi Jinping,0.5,"1,413,000,000","17,820,459,508,852","12,618",0.92,0,6,40.54,0.90,172.39
2021-12-06,3.18,5.50,6.36,2021,Phase Two,2021 | Phase Two,2,0,"138,980,000","5,020,000",4.25,"5,190,000","35,000,000","109,000,000","144,000,000","11,000,000","14,122",Xi Jinping,0.5,"1,413,000,000","17,820,459,508,852","12,618",0.92,0,6,40.54,0.90,172.39
2021-12-07,3.42,5.50,6.83,2021,Phase Two,2021 | Phase Two,2,0,"138,980,000","5,020,000",4.25,"5,190,000","35,000,000","109,000,000","144,000,000","11,000,000","14,122",Xi Jinping,0.5,"1,413,000,000","17,820,459,508,852","12,618",0.92,0,6,40.54,0.90,172.39
2021-12-08,3.42,5.50,6.83,2021,Phase Two,2021 | Phase Two,2,0,"138,980,000","5,020,000",4.25,"5,190,000","35,000,000","109,000,000","144,000,000","11,000,000","14,122",Xi Jinping,0.5,"1,413,000,000","17,820,459,508,852","12,618",0.92,0,6,40.54,0.90,172.39
2021-12-09,3.43,5.50,6.86,2021,Phase Two,2021 | Phase Two,2,0,"138,980,000","5,020,000",4.25,"5,190,000","35,000,000","109,000,000","144,000,000","11,000,000","14,122",Xi Jinping,0.5,"1,413,000,000","17,820,459,508,852","12,618",0.92,0,6,40.54,0.90,172.39
2021-12-10,6.53,6.60,6.47,2021,Phase Two,2021 | Phase Two,2,0,"138,980,000","5,020,000",4.25,"5,190,000","35,000,000","109,000,000","144,000,000","11,000,000","14,122",Xi Jinping,0.5,"1,413,000,000","17,820,459,508,852","12,618",0.92,0,6,40.54,0.90,172.39
2021-12-11,6.53,6.60,6.47,2021,Phase Two,2021 | Phase Two,2,0,"138,980,000","5,020,000",4.25,"5,190,000","35,000,000","109,000,000","144,000,000","11,000,000","14,122",Xi Jinping,0.5,"1,413,000,000","17,820,459,508,852","12,618",0.92,0,6,40.54,0.90,172.39
2021-12-12,6.53,6.60,6.47,2021,Phase Two,2021 | Phase Two,2,0,"138,980,000","5,020,000",4.25,"5,190,000","35,000,000","109,000,000","144,000,000","11,000,000","14,122",Xi Jinping,0.5,"1,413,000,000","17,820,459,508,852","12,618",0.92,0,6,40.54,0.90,172.39
2021-12-13,7.28,7.92,6.64,2021,Phase Two,2021 | Phase Two,2,0,"138,980,000","5,020,000",4.25,"5,190,000","35,000,000","109,000,000","144,000,000","11,000,000","14,122",Xi Jinping,0.5,"1,413,000,000","17,820,459,508,852","12,618",0.92,0,6,40.54,0.90,172.39
2021-12-14,8.08,9.50,6.65,2021,Phase Two,2021 | Phase Two,2,0,"138,980,000","5,020,000",4.25,"5,190,000","35,000,000","109,000,000","144,000,000","11,000,000","14,122",Xi Jinping,0.5,"1,413,000,000","17,820,459,508,852","12,618",0.92,0,6,40.54,0.90,172.39
2021-12-15,8.64,10.68,6.60,2021,Phase Two,2021 | Phase Two,2,0,"138,980,000","5,020,000",4.25,"5,190,000","35,000,000","109,000,000","144,000,000","11,000,000","14,122",Xi Jinping,0.5,"1,413,000,000","17,820,459,508,852","12,618",0.92,0,6,40.54,0.90,172.39
2021-12-16,3.31,10.68,6.63,2021,Phase Two,2021 | Phase Two,2,0,"138,980,000","5,020,000",4.25,"5,190,000","35,000,000","109,000,000","144,000,000","11,000,000","14,122",Xi Jinping,0.5,"1,413,000,000","17,820,459,508,852","12,618",0.92,0,6,40.54,0.90,172.39
2021-12-17,7.61,8.54,6.67,2021,Phase Two,2021 | Phase Two,2,0,"138,980,000","5,020,000",4.25,"5,190,000","35,000,000","109,000,000","144,000,000","11,000,000","14,122",Xi Jinping,0.5,"1,413,000,000","17,820,459,508,852","12,618",0.92,0,6,40.54,0.90,172.39
2021-12-18,7.61,8.54,6.67,2021,Phase Two,2021 | Phase Two,2,0,"138,980,000","5,020,000",4.25,"5,190,000","35,000,000","109,000,000","144,000,000","11,000,000","14,122",Xi Jinping,0.5,"1,413,000,000","17,820,459,508,852","12,618",0.92,0,6,40.54,0.90,172.39
2021-12-19,7.61,8.54,6.67,2021,Phase Two,2021 | Phase Two,2,0,"138,980,000","5,020,000",4.25,"5,190,000","35,000,000","109,000,000","144,000,000","11,000,000","14,122",Xi Jinping,0.5,"1,413,000,000","17,820,459,508,852","12,618",0.92,0,6,40.54,0.90,172.39
2021-12-20,3.30,8.54,6.60,2021,Phase Two,2021 | Phase Two,2,0,"138,980,000","5,020,000",4.25,"5,190,000","35,000,000","109,000,000","144,000,000","11,000,000","14,122",Xi Jinping,0.5,"1,413,000,000","17,820,459,508,852","12,618",0.92,0,6,40.54,0.90,172.39
2021-12-21,3.30,8.54,6.60,2021,Phase Two,2021 | Phase Two,2,0,"138,980,000","5,020,000",4.25,"5,190,000","35,000,000","109,000,000","144,000,000","11,000,000","14,122",Xi Jinping,0.5,"1,413,000,000","17,820,459,508,852","12,618",0.92,0,6,40.54,0.90,172.39
2021-12-22,3.18,8.54,6.36,2021,Phase Two,2021 | Phase Two,2,0,"138,980,000","5,020,000",4.25,"5,190,000","35,000,000","109,000,000","144,000,000","11,000,000","14,122",Xi Jinping,0.5,"1,413,000,000","17,820,459,508,852","12,618",0.92,0,6,40.54,0.90,172.39
2021-12-23,3.36,8.54,6.72,2021,Phase Two,2021 | Phase Two,2,0,"138,980,000","5,020,000",4.25,"5,190,000","35,000,000","109,000,000","144,000,000","11,000,000","14,122",Xi Jinping,0.5,"1,413,000,000","17,820,459,508,852","12,618",0.92,0,6,40.54,0.90,172.39
2021-12-24,3.36,8.54,6.72,2021,Phase Two,2021 | Phase Two,2,0,"138,980,000","5,020,000",4.25,"5,190,000","35,000,000","109,000,000","144,000,000","11,000,000","14,122",Xi Jinping,0.5,"1,413,000,000","17,820,459,508,852","12,618",0.92,0,6,40.54,0.90,172.39
2021-12-25,3.36,8.54,6.72,2021,Phase Two,2021 | Phase Two,2,0,"138,980,000","5,020,000",4.25,"5,190,000","35,000,000","109,000,000","144,000,000","11,000,000","14,122",Xi Jinping,0.5,"1,413,000,000","17,820,459,508,852","12,618",0.92,0,6,40.54,0.90,172.39
2021-12-26,3.36,8.54,6.72,2021,Phase Two,2021 | Phase Two,2,0,"138,980,000","5,020,000",4.25,"5,190,000","35,000,000","109,000,000","144,000,000","11,000,000","14,122",Xi Jinping,0.5,"1,413,000,000","17,820,459,508,852","12,618",0.92,0,6,40.54,0.90,172.39
2021-12-27,8.47,10.26,6.67,2021,Phase Two,2021 | Phase Two,2,0,"138,980,000","5,020,000",4.25,"5,190,000","35,000,000","109,000,000","144,000,000","11,000,000","14,122",Xi Jinping,0.5,"1,413,000,000","17,820,459,508,852","12,618",0.92,0,6,40.54,0.90,172.39
2021-12-28,3.38,10.26,6.75,2021,Phase Two,2021 | Phase Two,2,0,"138,980,000","5,020,000",4.25,"5,190,000","35,000,000","109,000,000","144,000,000","11,000,000","14,122",Xi Jinping,0.5,"1,413,000,000","17,820,459,508,852","12,618",0.92,0,6,40.54,0.90,172.39
2021-12-29,5.73,11.47,6.75,2021,Phase Two,2021 | Phase Two,2,0,"138,980,000","5,020,000",4.25,"5,190,000","35,000,000","109,000,000","144,000,000","11,000,000","14,122",Xi Jinping,0.5,"1,413,000,000","17,820,459,508,852","12,618",0.92,0,6,40.54,0.90,172.39
2021-12-30,3.39,11.47,6.78,2021,Phase Two,2021 | Phase Two,2,0,"138,980,000","5,020,000",4.25,"5,190,000","35,000,000","109,000,000","144,000,000","11,000,000","14,122",Xi Jinping,0.5,"1,413,000,000","17,820,459,508,852","12,618",0.92,0,6,40.54,0.90,172.39
2021-12-31,3.06,11.47,6.13,2021,Phase Two,2021 | Phase Two,2,0,"138,980,000","5,020,000",4.25,"5,190,000","35,000,000","109,000,000","144,000,000","11,000,000","14,122",Xi Jinping,0.5,"1,413,000,000","17,820,459,508,852","12,618",0.92,0,6,40.54,0.90,172.39
2022-01-01,3.06,11.47,6.13,2022,Phase Two,2022 | Phase Two,2,0,"138,800,000","5,200,000",4.25,"5,272,000","44,000,000","100,000,000","144,000,000",0,"14,122",Xi Jinping,0.5,"1,412,000,000","17,963,171,479,205","12,720",1.98,0,6,31.74,0.92,172.39
2022-01-02,3.06,11.47,6.13,2022,Phase Two,2022 | Phase Two,2,0,"138,800,000","5,200,000",4.25,"5,272,000","44,000,000","100,000,000","144,000,000",0,"14,122",Xi Jinping,0.5,"1,412,000,000","17,963,171,479,205","12,720",1.98,0,6,31.74,0.92,199.78
2022-01-03,3.06,11.47,6.13,2022,Phase Two,2022 | Phase Two,2,0,"138,800,000","5,200,000",4.25,"5,272,000","44,000,000","100,000,000","144,000,000",0,"14,122",Xi Jinping,0.5,"1,412,000,000","17,963,171,479,205","12,720",1.98,0,6,31.74,0.92,199.78
2022-01-04,9.90,13.06,6.75,2022,Phase Two,2022 | Phase Two,2,0,"138,800,000","5,200,000",4.25,"5,272,000","44,000,000","100,000,000","144,000,000",0,"14,122",Xi Jinping,0.5,"1,412,000,000","17,963,171,479,205","12,720",1.98,0,6,31.74,0.92,199.78
2022-01-05,9.90,13.06,6.75,2022,Phase Two,2022 | Phase Two,2,0,"138,800,000","5,200,000",4.25,"5,272,000","44,000,000","100,000,000","144,000,000",0,"14,122",Xi Jinping,0.5,"1,412,000,000","17,963,171,479,205","12,720",1.98,0,6,31.74,0.92,199.78
2022-01-06,9.90,13.06,6.75,2022,Phase Two,2022 | Phase Two,2,0,"138,800,000","5,200,000",4.25,"5,272,000","44,000,000","100,000,000","144,000,000",0,"14,122",Xi Jinping,0.5,"1,412,000,000","17,963,171,479,205","12,720",1.98,0,6,31.74,0.92,199.78
2022-01-07,9.91,13.06,6.77,2022,Phase Two,2022 | Phase Two,2,0,"138,800,000","5,200,000",4.25,"5,272,000","44,000,000","100,000,000","144,000,000",0,"14,122",Xi Jinping,0.5,"1,412,000,000","17,963,171,479,205","12,720",1.98,0,6,31.74,0.92,199.78
2022-01-08,9.91,13.06,6.77,2022,Phase Two,2022 | Phase Two,2,0,"138,800,000","5,200,000",4.25,"5,272,000","44,000,000","100,000,000","144,000,000",0,"14,122",Xi Jinping,0.5,"1,412,000,000","17,963,171,479,205","12,720",1.98,0,6,31.74,0.92,199.78
2022-01-09,9.91,13.06,6.77,2022,Phase Two,2022 | Phase Two,2,0,"138,800,000","5,200,000",4.25,"5,272,000","44,000,000","100,000,000","144,000,000",0,"14,122",Xi Jinping,0.5,"1,412,000,000","17,963,171,479,205","12,720",1.98,0,6,31.74,0.92,199.78
2022-01-10,9.94,13.06,6.82,2022,Phase Two,2022 | Phase Two,2,0,"138,800,000","5,200,000",4.25,"5,272,000","44,000,000","100,000,000","144,000,000",0,"14,122",Xi Jinping,0.5,"1,412,000,000","17,963,171,479,205","12,720",1.98,0,6,31.74,0.92,199.78
2022-01-11,9.84,13.06,6.62,2022,Phase Two,2022 | Phase Two,2,0,"138,800,000","5,200,000",4.25,"5,272,000","44,000,000","100,000,000","144,000,000",0,"14,122",Xi Jinping,0.5,"1,412,000,000","17,963,171,479,205","12,720",1.98,0,6,31.74,0.92,199.78
2022-01-12,9.21,11.74,6.69,2022,Phase Two,2022 | Phase Two,2,0,"138,800,000","5,200,000",4.25,"5,272,000","44,000,000","100,000,000","144,000,000",0,"14,122",Xi Jinping,0.5,"1,412,000,000","17,963,171,479,205","12,720",1.98,0,6,31.74,0.92,199.78
2022-01-13,9.21,11.74,6.69,2022,Phase Two,2022 | Phase Two,2,0,"138,800,000","5,200,000",4.25,"5,272,000","44,000,000","100,000,000","144,000,000",0,"14,122",Xi Jinping,0.5,"1,412,000,000","17,963,171,479,205","12,720",1.98,0,6,31.74,0.92,199.78
2022-01-14,9.21,11.74,6.69,2022,Phase Two,2022 | Phase Two,2,0,"138,800,000","5,200,000",4.25,"5,272,000","44,000,000","100,000,000","144,000,000",0,"14,122",Xi Jinping,0.5,"1,412,000,000","17,963,171,479,205","12,720",1.98,0,6,31.74,0.92,199.78
